상호명,시군구명,위도,경도,is_starbucks,projected_cluster
카페마레,노원구,37.63510826,127.0720097,0,2
새벽,용산구,37.53329238,126.9576404,0,4
햇살속으로,성북구,37.60153045,127.0213916,0,2
제니텍컨설팅주,종로구,37.57173482,126.9797262,0,3
엔젤디오주,양천구,37.51625589,126.8492189,0,4
카페후프,성북구,37.61657763,127.0493047,0,4
콰이어트크림티,송파구,37.50650511,127.0910337,0,2
프라페,중랑구,37.6048884,127.0980503,0,4
빽다방창동역,도봉구,37.65335697,127.0465526,0,2
매머드익스프레스안국역점,종로구,37.57840315,126.9865509,0,2
두란노커피,강동구,37.53955527,127.1439599,0,2
엠엠티에이치소공점108호,중구,37.56379727,126.9810979,0,3
그릿커피랩,관악구,37.47930919,126.9477105,0,1
카페고릴라,서초구,37.47244284,127.0275498,0,4
버터데이즈,광진구,37.53962085,127.0858238,0,2
할리스청담삼성로점,강남구,37.51624216,127.0506299,0,2
메가엠지씨커피노원포레나점,노원구,37.6648825,127.0618493,0,2
또와,노원구,37.65590672,127.0655702,0,1
키프디벨롭먼트,마포구,37.54534764,126.9371407,0,4
카페;온정,은평구,37.58930481,126.918467,0,2
카페언더우드,서대문구,37.55907825,126.9360313,0,1
스테이89,관악구,37.48240547,126.9409471,0,2
매머드익스프레스영등포우체국점,영등포구,37.516531,126.9060471,0,1
핏어팻,종로구,37.58593622,127.000283,0,1
설빙,영등포구,37.53494193,126.8993146,0,1
리콰이어커피,구로구,37.50145673,126.8456071,0,4
카페굽낭,강동구,37.54496172,127.1435855,0,2
민티,성북구,37.5873112,127.0289281,0,2
삼청동과수원,종로구,37.58500692,126.982621,0,4
원디아더,송파구,37.51015776,127.1081622,0,1
한강에스프레소,마포구,37.55391012,126.9018807,0,4
